Hotel Names,Price ($)
      Grand Hyatt Vail,      Grand Colorado On Peak 8
      The Little Nell,      Grand Colorado On Peak 8
"      Arrabelle at Vail Square, A RockResort",      Grand Colorado On Peak 8
"      The Westin Riverfront Resort & Spa, Avon, Vail Valley",      Grand Colorado On Peak 8
      Viceroy Snowmass,      Grand Colorado On Peak 8
"      The Pines Lodge, A RockResort",      Grand Colorado On Peak 8
"      The Osprey at Beaver Creek, A RockResort",      Grand Colorado On Peak 8
      The Peaks Resort & Spa,      Grand Colorado On Peak 8
      Sheraton Steamboat Resort Villas,      Grand Colorado On Peak 8
      Park Hyatt Beaver Creek Resort and Spa,
"      Christiania Lodge, A Destination Hotel",
      Beaver Run Resort & Conference Center,
"      Top of the Village Condominiums, A Destination Residence",
      Chateau Chamonix by Mountain Resorts,
      Residences at The Little Nell,
"      The Westin Riverfront Mountain Villas, Beaver Creek Mountain",
      The Timberline Condominiums,
"      Vail Residences at Cascade Village, a Destination by Hyatt Residence",
      Solaris Residences,
      Snowmass Mountain Chalet,
      Woodrun Place Condominiums,
      Capitol Peak Lodge,
      Grand Colorado On Peak 8,
